MovieID	CategoryGross	Storyline
23	5	In the end of the Nineteenth Century, in London, Robert Angier, his beloved wife Julia McCullough and Alfred Borden are friends and assistants of a magician. When Julia accidentally dies during a performance, Robert blames Alfred for her death and they become enemies. Both become famous and rival magicians, sabotaging the performance of the other on the stage. When Alfred performs a successful trick, Robert becomes obsessed trying to disclose the secret of his competitor with tragic consequences. 
24	2	Thirty years old and single, Beatrix Potter lives in London with her social-climbing parents, who are exasperated that she has turned down any number of eligible young men. Her only real friends are the animals which since childhood she has lovingly drawn and made up stories about. She finally succeeds in selling a book of the stories, and it becomes Norman Warne's first project. He quickly falls in love with both the book and Beatrix and together they carefully arrange publication. This proves the first of many successes, offering her the possibility of escaping from both her parents' way of life and London. 
25	2	An international soccer star is on his way to sign a multi-million dollar contract when a series of events unfold that bring his career to an abrupt end. A beautiful waitress, struggling to make it in New York City, discovers something about herself that she's unprepared for. In one irreversible moment, their lives are turned upside down... until a simple gesture of kindness brings them both together, turning an ordinary day to an unforgettable experience. 
26	2	Hvaing graduated in the US as Van Wilder disciple, now self-confident Taj Mahal. arrives as 'don' (teaching assistant) history at England's super-prestigious Cambridge. He falls victim to the haughty, aristocratic leading fraternity's aristocratic president Pip's usual prank for 'commoners', landing in the derelict 'barn' with other 'social outcasts'. But Taj decides to band the rejects into a new fraternity, Cocks & Bulls, which under his leadership challenges Pip's in the annual all-round excellence championship. 
27	1	A hastily married couple quickly devolve into a life of affairs, meddling parents, and therapy.
28	4	The hit-man Chev Chelios is poisoned by the criminal Verona and his friend and doctor Miles advises him that he must keep his adrenaline in an upper level to stay alive. Chev meets his girlfriend Eve and together he looks for Verona to kill him. 
29	2	In the 1860s, five men have been tracking a sixth across Nevada for more than two weeks. They shoot and wound him, but he gets away. They pursue, led by the dour Carver, who will pay them each $1 a day once he's captured. The hunted is Gideon, resourceful, skilled with a knife. Gideon's flight and Carver's hunt require horses, water, and bullets. The course takes them past lone settlers, a wagon train, a rail crew, settlements, and an Indian philosopher. What is the reason for the hunt; what connects Gideon and Carver? What happened at Seraphim Falls? 
30	7	When he loses a highly publicized virtual boxing match to ex-champ Rocky Balboa, reigning heavyweight titleholder Mason Dixon retaliates by challenging the Itallian Stallion to a nationally televised, 10-round exhibition bout. To the surprise of his son and friends, Rocky agrees to come out of retirement and face an opponent who's faster, stronger and thirty years his junior. With the odds stacked firmly against him, Rocky takes on Dixon in what will become the greatest fight in boxing history, a hard-hitting, action-packed battle of the ages. 
31	1	A fading country music star (Keith) returns to his hometown, where he reunites with his childhood sweetheart and also meets his 16-year-old daughter for the first time.
32	9	In New York, unemployed and divorced Larry Daley is a complete loser. His son Nick is very disappointed with his father who is going to be evicted. Larry accepts the job of night watchman in the Museum of Natural History and takes the place of three old security guards that have just retired in order to raise some money and pay his bills. On his first shift, Larry soon realizes that everything at the museum is not as it seems as the statues begin to come to life after the sun sets. The Museum transforms into complete chaos with the inexperienced Larry in charge as he learns that an old Egyptian stone that came to the Museum in 1950 brings these statues to life until dawn. When Larry brings his son to spend a night with him, the three old guards break into the Museum to try to steal the magical stone. Larry organizes all the historic characters to help him stop the criminals and save the museum. 
33	1	Despondent over his breakup with Desiree, Zia slashes his wrists and goes to an afterlife peopled by suicides, a high-desert landscape dotted by old tires, burned-out cars, and abandoned sofas. He gets a job in a pizza joint. By chance, Zia learns that Desiree offed herself a few months after he did, and she's looking for him. He sets off with Eugene (an electrocuted Russian rocker) to find her, and they pick up a hitchhiker, Mikal, who's looking for the People in Charge, believing she's there by mistake. They're soon at the camp of Kneller, where casual miracles proliferate. They hear rumors of a miraculous king. Can Zia find Desiree? Then what? Where there's death there's hope. 
34	1	In 1985, against the backdrop of Thatcherism, Brian Jackson enrolls in the University of Bristol, a scholarship boy from seaside Essex with a love of knowledge for its own sake and a childhood spent watching "University Challenge," a college quiz show. At Bristol he tries out for the Challenge team and falls under the spell of Alice, a lovely blond with an extensive sexual past. He's smitten, and he carelessly manages to hurt the feelings of Rebecca Epstein, a friend whose politics and wit he admires. The Challenge finale is coming up; maybe Brian can redeem himself and still avoid being a prat. 
35	4	To the students of the Spenser Academy, the Sons of Ipswich are the baddest boys on campus. But that's not all they share. The four friends also share a 300-year-old secret: they're warlocks, the teenage descendants of a 17th-century coven of witches. So when the long-banished fifth son suddenly appears and threatens to kill their loved ones, they realize they must face their enemy in order to prevent him from stealing their powers and shattering the covenant forever. 
36	5	Mob boss Primo Sparazza has taken out a hefty contract on Buddy "Aces" Israel, a sleazy magician who has agreed to turn state's evidence against the Vegas mob. The FBI, sensing a chance to use this small-time con to bring down big-target Sparazza, places Aces into protective custody-under the supervision of two agents dispatched to Aces' Lake Tahoe hideout. When the word of the price on Aces' head spreads into the community of ex-cons and cons-to-be, it entices bounty hunters, thugs-for-hire, deadly vixens and double-crossing mobsters to join in the hunt. With all eyes on Tahoe, this rogues' gallery collides in a comic race to hit the jackpot and rub out Aces. 
37	4	On September, 11th 2001, two American Airlines and two United Airlines domestic U.S. flights are hijacked by terrorists. After the collision of two planes against the World Trade Center and one against the Pentagon, the passengers and crew of United Flight 93 decide to struggle against the four terrorist to take back the control of the airplane. 
38	1	Dito, a writer in L.A., goes home to Astoria, Queens, after a 15-year absence when his mother calls to say his father's ill. In a series of flashbacks we see the young Dito, his parents, his four closest friends, and his girl Laurie, as each tries to navigate family, race, loyalty, sex, coming of age, violence, and wanting out. A ball falls onto the subway tracks at a station, small things get out of hand. Can Dito go home again? 
39	2	A naturally talented basketball player, Noah Cruise is determined to become a doctor using his basketball scholarship to UCLA pre-med, rather than succumb to the lure of former sports agent Vaughn and go for the NBA. His best friend, the buddy that took the fall for him and did the time for an assault charge, Tech, also an outstanding basketball player, has less lofty ambitions: he wants to get his GED and win an underground street ball game against his arrogant rival, Jewelz. Their lives change drastically when they both fall in love with two local girls, Vanessa Lilly and Eboni Jackson, and take fateful trip out to L.A. together. 
40	3	In this modern day romantic tale, Penelope is about a young girl's inspiring journey, a mysterious family secret and the power of love. With all odds against her, in order for Penelope to break the family curse, she must find true love with "one of her own kind" and realize the most important life lesson, "I like myself the way I am." Penelope Wilhern, born to wealthy socialites, is afflicted by the Wilhern spell that can only be broken when she finds love. Hidden away in her family's estate, the lonely girl meets a string of suitors in her parent's futile attempt to break the curse. Each eligible bachelor is enamored with Penelope and her sizable dowry; until her curse is revealed. Lemon, a mischievous and eager tabloid reporter wants a photograph of the mysterious Penelope and hires Max to pose as a prospective suitor to get the shot. The handsome down-on-his luck gambler finds himself falling for Penelope... 
41	2	Hollywood send-up. No-name actors are making a low-budget period drama called "Home for Purim," when an anonymous post on the Internet suggests that one performance is Oscar-worthy. Then, two more cast members get Oscar-related press: buzz in "Variety" and appearances on TV prompt the studio executives to insist on changes in the script in anticipation of a blockbuster. Jump ahead a few months to the days before Oscar nominees are announced: just the possibility of a nomination has changed the actors' lives. Agents, publicists, make-up artists, local celebrity reporters, and other bit players round out the backstage ensemble. Hooray for Hollywood! 
42	2	Having escaped her abusive ex-husband Goss, recently released from state prison, Agnes, a lonely waitress with a tragic past moves into a sleazy, rundown motel. Her lesbian co-worker R.C. introduces her to Peter, a peculiar, paranoiac drifter and they begin a tentative romance. However, things aren't always as they appear and Agnes is about to experience a claustrophobic nightmare reality as the bugs begin to arrive... 
43	1	A coming-of-age story about four working-class friends growing up in Long Island, New York, as clam diggers. Their fathers were clam diggers as well as their grandfathers before them.
44	6	On September, 11th 2001, after the terrorist attack to the World Trade Center, the building collapses over the rescue team from the Port Authority Police Department. Will Jimeno and his sergeant John McLoughlin are found alive trapped under the wreckage while the rescue teams fight to save them. 
45	3	Texan Charles Farmer left the Air Force as a young man to save the family ranch when his dad died. Like most American ranchers, he owes his bank. Unlike most, he's an astrophysicist with a rocket in his barn - one he's built and wants to take into space. It's his dream. The FBI puts him under surveillance when he tries to buy rocket fuel; the FAA stalls him when he files a flight plan - it's post-9/11, after all. His wife is angry when she finds out their bank is initiating foreclosure. Charlie fears failure and decides, precipitously, to launch. Are twenty-first century American dreams just a sign of insanity? Are those who believe in dreamers only fools? 
46	2	Young Caucasian Dan Dunne teaches history and coaches the girls basketball team at a Brooklyn high school populated primarily by black and Hispanic students. To the chagrin of his superiors, Dan bucks the outlined curriculum of historical facts in favor of the philosophy of historical events, generally discussing the concept of dialectics. As such, he captures the imagination of his students, at least in the classroom. Outside of the classroom, Dan's life is in shambles. He has a distant but cordial relationship with his family. He uses illicit drugs rampantly. Although his former girlfriend Rachel was able to clean up her drug habit, Dan believes that rehab will not work for him. Due to a combination of these issues, he treats women poorly. Thirteen year old Drey is a student in his class and a player on his basketball team. Drey has her own problems. Her parents are divorced, with her... 
47	7	When the Vatican observatory priest sees the appearance of a comet, the Church is sure that it confirms the eve of the Armageddon. Meanwhile, the USA President's godson Robert Thorn is informed in the maternity in Rome by Father Spiletto that his wife Katherine has just lost her baby and she had troubles with her uterus and would not have another pregnancy. Spiletto suggests Robert that another just born child that lost his mother could be the substituted for his son, and Robert accepts the child and gives the name of Damien. Robert is promoted to ambassador in London after a tragic accident. When Damien's nanny commits suicide in his birthday party, a substitute, Mrs. Baylock, comes to work and live with the family. Along the years, Katherine realizes that Damien is evil, while Robert is contacted by Father Brennan, who tells him that Damien is the son of devil. When the priest dies in a bizarre accident... 
48	4	As four friends prepare for life after high school, different challenges bring about turning points in each of their lives. The dramas unfold and resolve at their local rollerskating rink, Cascade.
49	6	Julia Jones is unhappy. She's overweight, spends forever working at her fathers diner, and believes she will always be lonely. This is until she meets Grant Fockyerdoder. Before they can have their dream wedding, they must meet each others parents and survive the scheming Andy. 
50	5	In New York, when the shy and lonely project manager of a design firm Matt Saunders meets Jenny Johnson in the subway, he invites her to date and have dinner with him. Jenny immediately falls in love for him, they have sex and she discloses her true identity to him, telling that she is the powerful superhero G-Girl. After meeting his co-worker and friend Hannah Lewis, the needy Jenny becomes jealous, controlling and manipulative, and Matt follows the advice of his best friend Vaughn Haige and dumps her, breaking her heart. Jenny turns Matt's life into hell, while he has a romance with Hannah. However, the archenemy of G-Girl and former high school sweetheart of Jenny, Professor Bedlam, proposes Matt to lure Jenny to strip her superpowers. 
51	1	Alyssa is a troubled 14-year old, suspended from school a year after her mother has drowned. Her grandmother Lucy, at wit's end, decides to take Alyssa to her father, James, whom Alyssa thought was dead for years. He studies dolphin communication at Smith's Point, on the Grand Bahama Island. James has not known of Alyssa's existence and is clueless about parenthood. The women arrive at the same time that James may lose his research operation to a tourist attraction. Father, daughter, dolphins, and town are on a collision course. Alyssa and James get encouragement from James's girlfriend and her father. It's the dolphins who can teach, and Alyssa who discovers how to listen. 
52	3	Martin Tweed is the host of a talent show called American Dreamz, and whilst he despises each new season, it's a hit with the ratings. Tweed decides it's time for a new and interesting batch of contestants, and sends out his team to find the weirdest bunch possible. Whilst all this is happening, the President of the United States is becoming more and more depressed, and relies on his Chief of Staff to talk him through everything, even into appearing as a judge on the TV show. Perfect news for the terrorists who use the talent contest as a way to reach the President. 
53	5	An American teenager named Sean Boswell is a loner in school, however he challenges his rival for an illegal street racing, and he totals his car in the end of the race. To avoid time in prison he is sent to Tokyo to live with his father who is in the military. As soon as he arrives he discovers a new, fun but dangerous way of street racing in the underworld of the streets of Tokyo, Japan. 
54	7	For newlyweds Carl and Molly Peterson, life can't get any sweeter as they begin anew to settle down into married life. With a nice house and established careers in tow, nothing seems to get in their way. However, Carl is about find out just how much friendship means when Dupree, his best friend has been displaced from his home and fired from his job because of attending their wedding. Taking his friend in, what Carl and Molly are about to experience is that the fine line between a few days and whatever else is after, can be a lot more than they bargained for. Especially when their friend overstays his welcome in far too many ways than he should. 
55	7	In Baltimore, the troublemaker and street dancer Tyler Gage lives with his foster parents in an Afro-American lower class neighborhood. His best friends are Mac Carter and his little brother Skinny Carter and they use to hang around together, going to parties and stealing cars. After being expelled of a party, the trio breaks in the Maryland School of Arts and commits vandalism, destroying the stage. Tyler is arrested and sentenced to 200 hours of community service in the school and Director Gordon assigns him to help the janitor cleaning the place. One afternoon, the ballet dancer Nora Clark sees Tyler dancing in the parking area and when her partner Andrew has a strain and Tyler offers to help her in the choreography, she accepts the offer; they rehearsal and become close to each other while Tyler becomes friend of the students Miles Darby and Lucy Avila. When Andrew returns, Tyler that is known for quitting everything he starts gives up dancing and leaves Nora alone... 
56	1	Jake Singer is at loose ends in NYC, and neck deep in psychoanalysis with the outrageous Dr. Morales when he meets the enigmatic and beautiful widow Allegra Marshall.
57	3	An unlucky meter reader enrolls in a confidence-building class so he can win the love of the girl of his dreams. The class turns out to be something quite different when it becomes clear to the young man that his professor has his sights set on the same girl. 
58	2	In 1965, while bombing Laos in a classified mission, the plane of the German-American pilot Dieter Dengler is hit and crashes in the jungle. Dieter is arrested by the peasants, tortured and sent to a prisoner camp, where he meets five other mentally ill prisoners. He becomes close to Duane and organizes an escape plan; however, the unstable Gene opposes to Dieter's plan. When they discover that there is no more food due to the constant American bombings in the area and their guards intend to kill them, Dieter sets his plan in motion. However, an unexpected betrayal split the group and Dieter and Duane find that the jungle is their actual prison. 
59	3	Irreverent as ever, Larry The Cable Guy plays a big city health inspector who's happy with his usual beat of greasy spoon diners and low-rent ethnic restaurants. His easygoing life is turned upside-down when he's saddled with a straight-arrow rookie partner (Iris Bahr) and assigned the biggest case of his career: investigating an outbreak of mysterious food poisonings at the city's swankiest restaurants. Infuriating restaurateurs with his bad manners, Larry still manages to charm a sweet, shy waitress (Megyn Price) into a budding romance. But when his unorthodox methods cost him his job, Larry has to go undercover to bring the conspirators to justice and 'Git-R-Done!' 
60	3	The Forrester family - father Mitch Forrester, mother Helen Forrester, their pre-teen son Billy Forrester and their pre-school son Woody Forrester - have just moved to a new town where Mitch is starting a new job. Both Mitch and Billy are worried about fitting into their new environment. It's even worse for Billy as Woody is that stage in his life where everything is good and easy. Billy's first day in the fifth grade at his new school does not go well when he gets into an altercation with the class bullies, led by Joe Guire. The altercation involves worms and Billy stating that he eats worms all the time, which leads to all the bullies calling Billy "Wormboy". As such, Joe bets Billy that he can't eat ten worms (without vomiting), the bet to take place this upcoming Saturday, with the last worm to be consumed by 7pm. Billy takes him up on the bet, despite Billy having a notoriously weak stomach... 
61	2	Early in 1971, McGraw-Hill passes on Clifford Irving's new novel. He's desperate for money, so, against the backdrop of Nixon's reelection calculations, Irving claims he has Howard Hughes's cooperation to write Hughes's autobiography. With the help of friend Dick Suskind, Irving does research, lucks into a manuscript written by a long-time Hughes associate, and plays on corporate greed. He's quick-thinking and outrageously bold. Plus, he banks on Hughes's reluctance to enter the public eye. At the same time, he's trying to rebuild his marriage and deflect the allure of his one-time mistress, Nina Van Pallandt. Can he write a good book, take the money, and pull off the hoax? 
62	2	In rural Mississippi, Lazarus, a former blues musician who survives by truck farming, finds a young girl nearly beaten to death near his home. She's the white-trash town tramp, molded by a life of sexual abuse at the hands of her father and verbal abuse from her mother, who seems to delight in reminding Rae of her mistake in not aborting her. Lazarus, who is also facing personal crisis at the dissolution of his marriage, nurses Rae back to health, providing her with gentle, fatherly advice as well as an education in blues music. Rae's boyfriend, Ronnie, goaded by the man who nearly beat Rae to death, misunderstands the relationship between Lazarus and Rae, and vows to kill him. Lazarus, exhibiting a street-smart understanding of violence and its motives, calls Ronnie's bluff, senses that he is as troubled as Rae, and becomes a guiding force in the young couple's resurrection. 
63	2	In accordance with the Navajos' legend, a thirteen year-old boy will finish with the curse of the powerful Skinwalkers, a.k.a. werewolves. The half-breed boy Timothy is raised by his human mother Rachel and protected by his Skinwalkers relatives since he was born. His grandmother Nana, his uncle Jonas, his cousin Katherine, her boyfriend Adam and their friend Doak have kept the secret about his bloodline and neither Timothy nor Rachel know the tragic curse. A couple of days before Timothy's thirteenth birthday, a pack of evil Skinwalkers that had tasted blood leaded by the evil Varek chases the boy while his family protects him. 
64	1	A pair of enterprising young reporters from "Both Sides" magazine are sent to Texas to investigate a rash of UFO sightings. Their investigation reveals a supernatural element that forces a wedge between the two reporters. As they pursue their separate and conflicting theories, their lives begin to change. 
65	2	Don Anderson is the Mickey's food restaurant chain's Marketing Director. He is the inventor of the "Big One" the hamburger best seller of Mickey's. An independent research reports the presence of cow's feces in the Big One. So Don is sent to Cody, Colorado, to verify if the slaughterhouse, main supplier of Mickey's, is efficient as it appears and the production process is regular. During his investigations he discovers the horrible truth behind a simple hamburger; the reality is not like we think it is. Don discovers that the mass production system involves from the temp workers like Amber, to the exploitation of Mexican irregular immigrants. It is not only the meat that is crush in the mincing machine, but all our society. 
66	2	At a Los Angeles hospital in the 1920s, Alexandria is a child recovering from a broken arm. She befriends Roy Walker, a movie stunt man with legs paralyzed after a fall. At her request, Roy tells her an elaborate story about six men of widely varied backgrounds who are on a quest to kill a corrupt provincial governor. Between chapters of the story, Roy inveigles Alexandria to scout the hospital's pharmacy for morphine. As Roy's fantastic tale nears its end, Death seems close at hand. 
67	2	Joshua Steed returns to Missouri a wealthy man with a beautiful wife; however, the past has a way of catching up. Soon Joshua is tangled in a web of rumors, deception and betrayal that threatens to tear his family apart. Back in Kirtland, financial trouble riddles the foundations of the fledgling Church causing a division, and questioning of the Prophet Joseph Smith's divine calling. Has he lost his prophetic gift? Hundreds of Saints immigrate to Missouri, where Governor Boggs raises an army - with Joshua at its head - to address the "Mormon Problem." When the militia receives orders to attack the Mormon settlement, only Joshua can save his family from the gathering mob. 
68	2	The rise and fall of salsa singer, Héctor Lavoe (1946-1993), as told from the perspective of his wife Puchi, who looks back from 2002. In the early 1960s, Héctor arrives in New York from Ponce, Puerto Rico. Success comes quickly. "The more he grew as an artist," Puchi says, "the more he sank as a person." It's a tale of talent - creating salsa with Willie Colón, with the Fania All Stars, and as a soloist - and a story of disintegration - fueled by drugs, alcohol, partying, and depression. Puchi's voice - proud and querulous - dominates off-stage as Héctor's does on. 
69	1	After Lexi leaves home to visit Central LA, there's a terrorist attack involving chemical bombs. After the attack, her musician husband, Brad, fails to find her and reluctantly seals himself inside his house. He will have to deal with this decision in the days to come. 
70	2	In Manhattan, Sofia's an attorney and Tom's a cook who has a hard time holding a job. When their first child is born, they agree that she'll be a full-time mom and he'll get a promotion. When he gets fired, he takes a job in Ohio working at the ad agency where her father is assistant director. Tom's assigned to report to Chip, a competitive, hard-driving guy who's in a wheelchair and who's Sofia's ex-boyfriend - from high school. Chip still carries a torch for her, so he connives to make Tom's work life miserable. As Tom's frustrations mount, it may be that Sofia will take Chip's side. Is Tom doomed to fail yet again? 
71	7	In New York, the simple and naive just-graduated in journalism Andrea Sachs is hired to work as the second assistant of the powerful and sophisticated Miranda Priestly, the ruthless and merciless executive of the Runway fashion magazine. Andrea dreams to become a journalist and faces the opportunity as a temporary professional challenge. The first assistant Emily advises Andrea about the behavior and preferences of their cruel boss, and the stylist Nigel helps Andrea to dress more adequately for the environment. Andrea changes her attitude and behavior, affecting her private life and the relationship with her boyfriend Nate, her family and friends. In the end, Andrea learns that life is made of choices. 
